Date,XLK,XLC,XLY,XLV,XLB,XLP,XLU,XLI,XLF,XLE,VNQ,TLT,IEF,SHV,LQD,HYG,PICB,IGLB,IGIB,IWR,SPY,IWM,QUAL,MTUM,SPLV,SLYV,SPYV,SPYG,EEM,EFA,ACWI,GLD,SLV,USO,DBA,UNG
12/31/2018,60.687088,40.726719,96.989464,83.801529,48.883736,48.760284,50.384411,62.350605,22.997509,51.889744,70.722328,117.60289,101.265884,107.307259,107.176422,74.777023,24.616983,53.008762,49.702221,45.342289,242.773315,131.171555,74.747757,97.95755,45.021782,52.217274,26.065609,31.806093,37.734772,56.101372,62.078644,121.25,14.52,77.279999,16.678053,24.709999
1/2/2019,60.726257,41.269348,97.724159,82.532547,49.135315,48.472221,49.518005,62.670044,23.190601,52.912163,69.185913,118.222328,101.479698,107.316986,107.508896,74.675621,24.431236,53.159405,49.853928,45.176449,243.025879,131.916077,74.708817,97.302742,44.336571,52.780003,26.171175,31.727798,37.831379,55.986839,62.059284,121.330002,14.56,78.800003,16.648516,24.49
1/3/2019,57.661549,40.578732,95.608238,80.856712,47.741951,48.193752,49.508488,60.763039,22.669247,52.387379,69.669586,119.567642,102.286339,107.355927,107.556412,74.712509,24.548552,53.2159,49.939262,44.415539,237.226593,129.555206,72.829407,94.615082,43.892612,51.97472,25.537769,30.935093,37.145466,55.480995,61.004646,122.43,14.75,79.599998,16.707588,24.209999
1/4/2019,60.217098,42.325005,98.772324,83.268738,49.619118,49.221195,50.241596,63.066944,23.422316,54.169819,70.485229,118.183617,101.460281,107.385071,107.489914,75.966454,24.607208,53.244144,49.816013,45.869072,245.172668,134.394531,75.400215,97.781624,44.790161,53.83754,26.353519,32.080112,38.343391,57.179878,62.949444,121.440002,14.73,81.440002,16.678053,25.09
1/7/2019,60.755627,42.808437,101.005791,83.588409,49.793289,49.15398,49.898846,63.580002,23.451281,54.975079,71.177567,117.835197,101.178421,107.385071,107.499413,76.704079,24.695198,53.253555,49.778084,46.405605,247.105774,136.745636,75.857887,98.719856,44.819111,54.623417,26.545458,32.295418,38.43034,57.399399,63.336468,121.860001,14.67,82.32,16.89465,24.379999
1/8/2019,61.264786,43.528652,102.122528,84.237442,50.3158,49.605282,50.517704,64.451218,23.470589,55.40033,72.647583,117.525475,100.925751,107.375359,107.736916,77.202011,24.528999,53.413616,49.910824,46.981163,249.427399,138.84201,76.675865,99.941521,45.301659,55.351086,26.756594,32.677086,38.575253,57.771626,63.8009,121.529999,14.69,84,17.012794,24.74
1/9/2019,62.057888,43.587845,102.641708,84.615227,50.335155,49.144379,50.213032,64.886826,23.586447,56.277981,72.543243,117.341568,100.984077,107.365631,108.145401,77.294182,24.71475,53.686668,50.034088,47.35186,250.593124,139.98819,77.104347,100.527908,45.282364,55.952614,26.871759,32.814098,39.261162,58.420635,64.391113,122.309998,14.78,88.400002,17.04233,24.889999
1/10/2019,62.33205,43.676643,102.347847,84.7799,50.780254,49.432442,50.869972,65.767731,23.5961,56.440842,73.529594,116.586662,100.935463,107.394814,107.86042,77.598488,24.71475,53.338295,50.005642,47.683544,251.477097,140.713089,77.454903,100.664742,45.735947,56.078747,26.996521,32.931541,39.541325,58.649704,64.691048,121.589996,14.6,88.800003,16.914341,24.75
1/11/2019,62.21455,43.459591,102.445793,85.060822,50.577053,49.576481,50.679554,65.699982,23.654028,56.106068,73.738243,117.04155,101.236755,107.424004,108.059891,77.349518,24.685421,53.470116,50.109936,47.732319,251.574234,140.752274,77.230927,100.733154,45.716648,56.253387,27.006119,32.902172,39.348106,58.24884,64.458839,121.800003,14.64,87.199997,16.973413,26.09
1/14/2019,61.636856,43.301739,101.818855,84.121193,50.19001,49.336422,49.537052,65.690292,23.818157,55.970352,73.491653,116.606026,101.178421,107.433716,107.774902,77.100563,24.695198,53.178226,50.072006,47.390884,250.039413,139.351425,76.821938,99.853561,45.417477,55.913815,26.919743,32.657509,39.019646,57.981602,64.091171,122.089996,14.66,85.519997,16.89465,29.75
1/15/2019,62.567039,44.02195,102.739685,85.632362,49.861023,49.826138,50.146389,65.487007,24.030561,56.169403,74.193481,116.180183,101.08123,107.443474,107.8414,77.358734,24.753857,53.131145,50.090977,47.790852,252.905075,140.526978,77.523064,101.427048,45.977226,56.136963,27.111687,33.176201,39.290142,58.287022,64.671692,121.879997,14.6,88,16.815887,28.719999
1/16/2019,62.625786,43.834503,102.504578,85.477364,50.054543,49.557274,50.327282,65.554764,24.542259,56.097015,74.715096,116.296318,101.022919,107.424004,108.0504,77.4786,24.724525,53.26297,50.157341,48.015221,253.517014,141.57518,77.59124,101.270683,46.073738,56.680286,27.246044,33.127266,39.773178,58.449276,64.855537,122.269997,14.63,88.480003,16.835579,28.219999
1/17/2019,63.027237,44.012089,103.200089,86.232941,50.93507,49.768528,50.536743,66.677681,24.677427,56.612747,75.075493,116.325325,100.838303,107.453178,108.268898,77.690666,24.773403,53.432449,50.20475,48.454201,255.440445,142.85849,78.292351,102.04277,46.372917,57.175102,27.476376,33.381718,39.947071,58.659248,65.329636,122.110001,14.57,88.239998,16.934032,28.27
1/18/2019,63.986797,44.367268,104.63028,87.259766,51.776894,50.363865,50.593868,67.945801,25.102232,57.761837,75.331551,115.715614,100.51757,107.482376,108.4589,77.911949,24.734304,53.630165,50.280609,49.195602,258.840332,144.327911,79.34404,103.117836,46.749313,57.80574,27.869854,33.782963,40.140289,59.250996,66.016609,121.019997,14.37,90.480003,17.012794,28.41
1/22/2019,62.909733,43.449726,103.062927,86.65918,51.06086,49.902962,50.689075,66.54216,24.812595,56.504173,75.103943,116.49955,100.867432,107.472649,108.639366,77.395615,24.767586,53.63958,50.384899,48.512737,255.343262,142.045395,78.214447,101.984138,46.626511,56.913143,27.505167,33.322994,39.444717,58.33474,65.145805,121.449997,14.39,88.959999,16.865112,26.65
1/23/2019,63.125153,43.252407,103.268654,86.756035,50.712517,50.498299,51.203201,66.638947,24.841557,55.925114,75.113426,116.45118,100.818848,107.472649,108.914886,77.552368,24.85569,53.874969,50.489197,48.463959,255.877563,141.653534,78.263145,102.296875,46.839233,56.767605,27.543556,33.371925,39.850468,58.601982,65.310287,121.279999,14.42,88.400002,16.914341,26.309999
1/24/2019,63.653893,43.449726,103.699677,86.029518,50.441589,49.874146,51.469788,66.977776,24.899483,56.22369,75.369499,117.215744,101.139542,107.511566,109.199867,77.635353,24.934011,54.100937,50.602978,48.795631,256.013519,142.505814,78.331299,101.993904,46.81023,57.116882,27.591537,33.411079,40.2369,58.668789,65.426399,121.089996,14.36,89.360001,16.924187,26.959999
1/25/2019,64.554688,44.00222,104.845787,86.13607,51.399529,49.672501,50.765247,67.829636,25.102232,56.93848,76.308411,116.654404,100.906326,107.511566,109.294868,77.828979,25.110224,54.016205,50.584015,49.380951,258.179779,144.337708,79.188232,102.658485,46.897255,57.766933,27.889048,33.626377,40.768238,59.336891,66.152069,122.860001,14.74,90,16.815887,27.4
1/28/2019,63.69305,43.617447,104.238464,85.1577,51.322117,49.883751,50.527225,67.181053,25.024996,56.36845,77.057655,116.538277,100.935463,107.511566,109.275871,77.709099,25.217907,53.978542,50.631428,49.244377,256.21756,143.563812,78.642929,101.632286,46.85857,57.601994,27.735493,33.254486,40.343159,59.012386,65.697319,123.290001,14.79,87.599998,16.825733,25.73
1/29/2019,63.007652,43.104412,103.562531,85.574219,51.854305,49.998978,50.670033,68.110359,24.938101,56.540367,77.664635,117.12867,101.22702,107.501816,109.513351,77.663002,25.198328,54.119774,50.716755,49.293152,255.877563,143.220932,78.68187,101.212044,46.984272,57.572891,27.78348,33.137054,40.410793,59.146004,65.706993,123.980003,14.88,89.279999,16.746969,25.85
1/30/2019,64.965927,43.725971,105.60009,86.746361,52.405842,50.335056,51.060394,69.175194,25.082922,57.336582,78.290565,117.04155,101.460281,107.531013,110.016846,78.280769,25.286436,54.449318,50.887421,49.849201,259.928284,144.788345,79.675133,103.33284,47.487091,58.106506,28.138571,33.782963,41.289917,59.795017,66.635849,124.690002,15.05,91.199997,16.737123,25.559999
1/31/2019,64.8974,45.511711,106.560089,87.831291,51.622074,51.266479,52.136246,69.475281,25.044306,57.707546,79.106201,118.048111,101.926758,107.569939,110.786346,78.474403,25.335382,54.967159,51.143421,50.151611,262.211121,146.022659,80.911819,104.280853,48.018906,58.581924,28.292124,34.174416,41.637699,59.82365,67.071243,124.75,15.05,90.800003,16.658361,25.280001
2/1/2019,65.279251,45.353863,105.002541,87.908783,51.776894,51.103241,51.93631,69.581757,25.150505,58.711864,78.603539,117.335136,101.381378,107.577736,110.5224,78.436424,25.413696,54.800835,51.045448,50.375984,262.337372,146.140198,81.272141,104.476318,48.067261,58.669239,28.340109,34.174416,41.309235,59.804562,66.993843,124.5,14.92,93.040001,16.668207,24.43
2/4/2019,66.326935,45.778091,105.688248,87.656921,51.689804,51.42971,52.021999,70.482025,25.256706,58.847584,79.191551,116.811325,101.157387,107.577736,110.369934,78.621689,25.296221,54.677982,50.988358,50.717419,264.183044,147.883957,81.807724,104.671776,48.299335,59.309582,28.50326,34.43866,41.376862,60.024082,67.380867,123.959999,14.88,92,16.855268,23.790001
2/5/2019,66.885048,46.281261,106.677643,87.530998,52.067181,51.439316,52.126724,71.091888,25.189127,58.938057,79.646797,117.344833,101.33268,107.567986,110.81778,78.899551,25.217907,55.018188,51.093006,50.912518,265.290436,148.04068,82.343307,104.837921,48.425045,59.474522,28.580036,34.634388,41.946842,60.491753,67.777565,124.279999,14.87,90.32,16.806042,23.959999
2/6/2019,67.110252,45.245335,106.236816,87.928146,51.757542,51.448921,52.098167,71.111244,25.160164,58.503769,79.12516,117.403023,101.410576,107.597229,110.608154,78.825447,25.227694,54.819733,51.102509,50.893002,264.940704,147.854568,82.197243,104.916115,48.367027,59.309582,28.570438,34.536514,41.376862,60.186337,67.516327,123.440002,14.68,90.559998,16.845423,23.870001
2/7/2019,66.189857,44.811226,105.36499,86.959457,51.041512,51.410511,52.783665,70.627235,24.909136,57.209915,79.779572,118.179062,101.741722,107.606979,110.589088,78.556831,25.14938,54.819733,51.159599,50.639374,262.415131,146.639816,81.379257,104.446999,48.502388,58.766258,28.311319,34.213566,40.961452,59.384613,66.810013,123.739998,14.77,88.559998,16.687899,22.950001
2/8/2019,66.571716,45.117077,104.943756,87.124146,50.99313,51.650566,53.012169,70.733711,24.783627,56.947525,79.779572,118.683472,101.878044,107.626465,110.865417,78.538307,25.217907,55.065437,51.197636,50.766193,262.735657,146.79657,81.593498,104.84771,48.724792,58.581924,28.263334,34.331005,40.729591,59.193726,66.790657,124.209999,14.83,88.639999,16.569754,23.27
2/11/2019,66.542351,44.653378,105.12989,87.017586,51.070538,51.785,52.993126,71.111244,24.860867,57.21896,79.997688,118.217873,101.722237,107.626465,110.617661,78.575348,25.090639,54.876438,51.169117,50.912518,262.881378,148.021103,81.681122,104.84771,48.753811,59.076733,28.282526,34.370148,40.594341,59.136459,66.703583,123.599998,14.72,88.080002,16.550062,23.610001
2/12/2019,67.423569,45.166405,106.746208,88.209068,52.212318,52.188293,53.116898,72.21479,25.227743,57.942791,79.495033,117.917168,101.585876,107.616707,110.770142,78.955132,25.071058,54.933144,51.188141,51.507591,266.261871,149.872589,82.615952,105.942314,48.995541,59.852909,28.618423,34.820332,40.932465,59.82365,67.526009,123.860001,14.73,89.279999,16.628824,23.809999
2/13/2019,67.511688,45.196003,107.471107,88.402817,52.280048,52.284317,52.964565,72.640717,25.29533,58.666618,79.902855,117.47094,101.33268,107.626465,110.484268,78.843971,25.12001,54.791389,51.112034,51.673431,267.126373,150.293808,83.083382,105.991173,49.121243,60.114864,28.733589,34.888828,40.642647,59.833195,67.564705,123.370003,14.59,90.720001,16.599289,23.17
2/14/2019,67.629189,45.363728,107.079262,88.606247,52.009121,51.698578,52.878876,72.301918,24.986378,58.874729,80.15892,118.140259,101.809868,107.655693,110.608154,78.853233,25.080853,54.876438,51.188141,51.595387,266.533844,150.636703,82.927582,105.86412,48.908512,60.231297,28.628019,34.869263,40.719933,59.85228,67.526009,124.059998,14.65,91.839996,16.451607,22.99
2/15/2019,68.167717,45.561043,107.813972,89.943024,52.715481,52.188293,53.040733,73.269958,25.517385,59.824764,80.699509,118.324593,101.712471,107.675201,110.741547,79.103333,25.139591,55.074886,51.226181,52.13192,269.438354,153.036758,83.774765,106.978279,49.353313,61.220917,28.992708,35.18243,40.661968,60.72081,68.222649,124.800003,14.82,93.68,16.609135,23.389999
2/19/2019,68.187302,45.610371,108.254776,89.729919,53.044464,52.457161,53.354919,73.240906,25.556004,60.005711,80.68055,118.625267,101.887794,107.684952,110.808243,79.131119,25.262123,55.11269,51.273746,52.209969,269.904633,153.458008,83.774765,107.056465,49.465698,61.64782,29.08868,35.231361,40.98077,60.949879,68.454865,126.699997,15.02,94.239998,16.540216,23.709999
2/20/2019,68.265633,45.452518,108.470291,89.623367,53.954018,52.361137,53.592937,73.589401,25.720133,60.259056,80.177887,118.285774,101.868294,107.684952,110.712975,79.195953,25.399366,54.999294,51.245201,52.346542,270.448578,154.182922,84.115585,107.017365,49.533508,62.181435,29.18465,35.250935,41.212627,61.121677,68.638702,126.480003,15.07,95.440002,16.431919,23.58
2/21/2019,68.295006,45.028278,108.254776,88.838722,53.741146,52.514771,53.983295,73.289307,25.58497,59.327126,80.253761,117.228439,101.566391,107.714195,110.398514,79.121857,25.291536,54.706326,51.159599,52.161186,269.486908,153.595154,83.657913,107.222603,49.649761,61.744839,29.0215,35.162853,41.125683,60.997597,68.474205,125.050003,14.83,95.040001,16.471298,24.01
2/22/2019,69.166443,45.452518,108.842537,89.652428,53.973373,52.265118,54.316528,73.773315,25.546347,59.499035,80.727966,117.926857,101.868294,107.714195,110.894005,79.279312,25.389566,55.027645,51.34034,52.522133,271.157715,154.927429,84.475899,107.984917,49.882271,62.113522,29.127068,35.476017,41.579739,61.198032,68.890251,125.5,14.95,95.599998,16.500835,24.02
2/25/2019,69.499352,45.50185,108.480087,89.778358,54.321716,51.977043,53.964256,74.063728,25.65255,59.59856,80.092529,117.577644,101.712471,107.714195,110.855881,79.34417,25.458185,54.999294,51.330822,52.541645,271.526855,154.966614,84.54406,107.779686,49.736946,61.938885,29.175055,35.524956,42.043449,61.379372,69.064415,125.370003,14.9,92.559998,16.313772,24.77
2/26/2019,69.646225,45.50185,108.627022,89.458694,54.012077,52.005852,53.89761,73.860451,25.575314,59.408558,79.845963,118.15966,102.014381,107.714195,111.027405,79.446053,25.507202,55.103252,51.397411,52.346542,271.332581,153.898849,84.52459,107.779686,49.707893,61.337349,29.127068,35.534744,41.898537,61.675247,69.112801,125.580002,14.94,93.040001,16.284239,24.450001
2/27/2019,69.577682,45.274929,108.548653,89.042152,53.924992,51.929035,53.964256,74.150856,25.67186,59.634754,79.447624,116.82103,101.654053,107.743431,110.712975,79.473846,25.497396,54.668537,51.378387,52.444088,271.216064,154.11438,84.641434,107.54512,49.756317,61.35675,29.059891,35.564102,41.541092,61.427094,68.967659,124.690002,14.75,95.120003,16.353155,24.73
2/28/2019,69.381866,45.304527,107.960899,88.780609,53.267017,52.178692,54.278439,73.899162,25.604279,59.037594,79.656273,116.423325,101.391106,107.743431,110.560516,79.427536,25.487595,54.630733,51.321312,52.336784,270.710846,153.585373,84.436935,107.818779,49.950085,61.026878,28.906336,35.564102,41.000088,61.341187,68.725777,123.989998,14.63,95.599998,16.185783,24.73
3/1/2019,69.851845,45.659698,108.832748,90.039909,53.199284,52.082668,54.392693,73.966919,25.76841,60.123333,79.409683,115.347221,101.058388,107.758102,110.367439,79.652672,25.438581,54.513119,51.264046,52.668461,272.401123,155.015625,85.050423,108.356316,50.095387,61.395554,29.098278,35.857693,41.048397,61.675247,69.093452,121.879997,14.2,93.279999,16.195629,25.08
3/4/2019,69.587471,45.718895,108.489891,88.819359,53.441189,51.99625,54.4879,73.637794,25.604279,60.231915,79.770088,116.251251,101.370621,107.777603,110.615944,79.531738,25.360159,54.664875,51.35947,52.375805,271.410309,153.614716,84.826447,107.525566,50.008209,60.93956,28.963919,35.740257,41.106361,61.446178,68.890251,121.559998,14.15,94.400002,16.077484,25.139999
3/5/2019,69.381866,46.005016,108.764168,88.77092,53.18961,51.95784,54.421253,73.16346,25.50773,60.032852,79.988205,116.494278,101.429153,107.767845,110.654175,79.494514,25.399366,54.93996,51.397652,52.258739,271.041138,152.899597,84.729073,107.476723,49.959766,60.561172,28.896742,35.701111,41.512115,61.503448,68.899933,121.720001,14.2,94.559998,16.166092,25.43
3/6/2019,69.019577,45.985283,108.254776,87.47287,53.305721,51.88102,54.421253,72.476166,25.343603,59.272835,79.618332,116.921974,101.712128,107.787384,110.759331,79.364265,25.399366,54.920994,51.464451,51.741714,269.399475,149.901978,84.417465,106.880539,49.804768,59.377502,28.676006,35.505383,41.280251,61.350739,68.561295,121.610001,14.15,94,16.08733,25.1
3/7/2019,68.363541,45.580776,106.942123,86.785103,52.870293,51.544941,54.60215,72.040543,25.082922,58.919975,79.447624,117.680199,102.053635,107.8069,111.122513,79.308426,25.340553,55.129681,51.559879,51.39053,267.145813,148.589264,83.735817,106.235512,49.649761,58.640133,28.474468,35.211788,40.517059,60.5681,67.845306,121.510002,14.09,94.480003,15.959339,25.27
3/8/2019,68.353752,45.551174,106.197639,86.601051,52.957378,51.573746,54.792568,71.89534,25.073267,57.81612,79.532982,118.17598,102.199989,107.826447,111.265877,79.178169,25.369959,55.186588,51.550335,51.244194,266.611572,148.550095,83.580009,105.932533,49.611004,58.552814,28.46487,35.104141,40.227234,60.577652,67.671143,122.839996,14.41,93.839996,16.047947,25.23
3/11/2019,69.822464,46.370052,107.657227,87.589119,53.712116,52.245907,55.182922,72.505219,25.333946,58.720917,80.699509,117.826019,102.121948,107.8069,111.390167,79.43869,25.448381,55.319382,51.645767,51.927059,270.477753,151.146103,84.86541,107.320351,50.143826,59.493927,28.858353,35.63261,40.98077,61.102585,68.570969,122.239998,14.37,94.879997,15.988876,24.48
3/12/2019,70.233711,46.577236,107.960899,88.228447,53.915314,52.265118,55.563755,71.905029,25.39187,59.100929,81.069397,118.652275,102.404907,107.826447,111.696014,79.578255,25.42878,55.603951,51.731647,52.161186,271.497681,151.224457,85.215973,107.760139,50.347275,59.309582,28.954325,35.750046,41.193306,61.064407,68.832207,122.980003,14.48,95.120003,16.077484,24.639999
3/13/2019,70.693901,46.715359,108.342941,89.177773,54.176567,52.562786,55.620884,72.534241,25.565657,59.698086,81.46772,118.428711,102.365891,107.84597,111.514404,79.792244,25.595425,55.414242,51.750736,52.395313,273.2948,151.822021,85.673653,108.375854,50.550728,59.513336,29.136667,35.975128,41.241608,61.589344,69.228905,123.839996,14.51,97.519997,16.116867,24.879999
3/14/2019,70.840775,46.508175,108.019676,89.032471,53.770172,52.514771,55.611366,72.292244,25.662205,59.761429,81.591003,117.573265,102.219505,107.84597,111.294563,79.73642,25.624836,55.234024,51.722115,52.317272,273.119934,151.204865,85.644432,108.395401,50.579777,59.280476,29.165457,35.935993,41.019413,61.5798,69.161186,122.410004,14.24,97.760002,16.215319,25.08
3/15/2019,71.698318,46.471611,108.712646,89.441803,53.837231,52.812141,55.812786,72.037148,25.841728,59.737713,81.334946,118.35096,102.541512,107.87529,111.696014,79.810837,25.703259,55.471146,51.865246,52.453846,274.46936,151.606491,86.024208,109.001343,50.676666,59.31929,29.290218,36.151287,41.618382,62.247906,69.722359,122.970001,14.33,97.599998,16.422073,24.639999
3/18/2019,72.002838,46.076275,109.764381,89.305672,53.963558,52.889378,55.601772,72.738144,26.103737,60.567532,80.927132,118.282898,102.404907,107.855751,111.63868,79.782951,25.687553,55.452179,51.874786,52.736752,275.464508,152.57634,86.131325,109.030663,50.587372,59.809017,29.488094,36.192532,42.082092,62.467415,70.109383,123.040001,14.39,98.480003,16.431919,25.059999
3/19/2019,72.150177,46.155342,110.314827,90.015472,53.895531,52.850765,54.968739,72.475281,25.899956,60.403397,80.68055,118.020462,102.336624,107.885048,111.657761,79.829475,25.726814,55.414242,51.884335,52.590416,275.532837,151.802444,86.082634,109.265221,50.305897,59.302734,29.410875,36.27108,42.101414,62.591496,70.167435,123.379997,14.4,98.239998,16.392536,25.16
3/20/2019,71.95372,46.570438,110.472107,89.393196,53.846947,52.628696,55.11261,71.978737,25.366234,60.932289,80.927132,119.254967,103.048912,107.894806,112.412857,80.173706,25.864235,55.784172,52.132458,52.252705,274.703491,150.537308,85.910568,108.92366,50.150589,58.728302,29.169561,36.31036,42.169044,62.620129,69.993279,124.18,14.54,100,16.431919,24.969999
3/21/2019,73.761154,47.183208,111.985817,89.743217,54.4203,53.246609,55.697689,72.669991,25.288605,61.360867,82.36869,119.517456,103.000114,107.904572,112.623154,80.155106,25.667919,55.983368,52.180168,53.035809,277.806213,152.511612,86.761162,110.101433,50.703842,59.370888,29.488094,36.732571,42.227005,62.581951,70.486732,123.68,14.5,99.519997,16.559908,24.860001
3/22/2019,72.022484,46.422188,109.764381,88.109764,52.797413,53.179028,56.100525,71.02459,24.589916,59.701237,81.77121,121.374146,103.761215,107.933868,113.31134,79.866676,25.736629,56.561985,52.390106,51.890514,272.459442,146.96196,85.177284,108.854965,50.567959,57.18026,28.889647,36.064884,40.990429,61.379372,69.025719,123.970001,14.45,97.839996,16.500835,24.41
3/25/2019,71.708145,46.343124,110.413139,88.061142,52.700233,53.285233,56.148487,71.190117,24.483173,59.728596,81.875526,121.56855,104.024651,107.933868,113.540718,79.83876,25.844601,56.761185,52.485538,51.880726,272.254547,147.61026,85.147964,108.97274,50.587372,57.501556,28.812424,36.094341,41.087036,61.465271,69.016045,124.919998,14.56,98,16.569754,24.389999
3/26/2019,72.101067,46.570438,110.884941,88.663971,53.020924,53.73901,56.551331,71.667175,24.774292,60.58577,82.529922,121.481049,103.936829,107.953392,113.588493,80.034149,25.864235,56.799122,52.51416,52.340805,274.283966,149.162186,85.920334,109.689224,50.995014,58.056515,28.995821,36.36927,41.212627,61.770687,69.49015,124.300003,14.47,99.760002,16.550062,24.18
3/27/2019,71.688507,46.234409,110.658867,87.925018,52.952904,53.555565,56.158077,71.745071,24.667547,60.157188,82.292824,122.598953,104.239319,107.943634,113.741432,80.089981,25.746445,56.998318,52.619133,52.115658,272.849701,148.582672,85.548805,109.149406,50.839718,58.183079,28.899298,36.153252,40.768238,61.799316,69.170853,123.650002,14.32,98.720001,16.451607,23.969999
3/28/2019,71.983185,46.12569,111.327263,88.148651,53.467945,53.81625,55.496269,72.270821,24.881033,60.385155,83.091354,123.026642,104.249084,107.972923,113.884811,80.248146,25.569765,57.09317,52.647758,52.477844,273.883942,149.908676,85.949677,109.384949,50.839718,58.738045,29.03443,36.280899,41.038734,61.646606,69.374031,121.900002,14.07,98.800003,16.392536,23.91
